Time,Folder,Filename,Official,All,Highlights
2018-09-22-145501,,272060900.jpg,,x,
2018-09-22-145554,Official,342.jpg,x,x,
2018-09-22-145556,Official,343.jpg,x,x,
2018-09-22-145743,,272060902.jpg,,x,
2018-09-22-145813,Official,344.jpg,x,x,
2018-09-22-145917,Official,345.jpg,x,x,
2018-09-22-145926,Official,346.jpg,x,x,
2018-09-22-145931,Official,347.jpg,x,x,
2018-09-22-145932,Official,348.jpg,x,x,
2018-09-22-145934,Official,349.jpg,x,x,
2018-09-22-145935,Official,350.jpg,x,x,
2018-09-22-145950,Official,351.jpg,x,x,
2018-09-22-150019,Official,352.jpg,x,x,
2018-09-22-151047,,IMG_4233.jpg,,x,
2018-09-22-151049,,272069488.jpg,,x,
2018-09-22-151049,,IMG_4234-2-.jpg,,x,
2018-09-22-151049,,IMG_4234.jpg,,x,
2018-09-22-151804,Official,353.jpg,x,x,
2018-09-22-151811,Official,354.jpg,x,x,
2018-09-22-151918,Official,355.jpg,x,x,
2018-09-22-151921,Official,356.jpg,x,x,
2018-09-22-151926,Official,357.jpg,x,x,
2018-09-22-151949,Official,358.jpg,x,x,
2018-09-22-151955,Official,359.jpg,x,x,
2018-09-22-152002,Official,360.jpg,x,x,
2018-09-22-152012,Official,361.jpg,x,x,
2018-09-22-152022,Official,362.jpg,x,x,
2018-09-22-152025,Official,363.jpg,x,x,
2018-09-22-152052,Official,364.jpg,x,x,
2018-09-22-152124,Official,365.jpg,x,x,
2018-09-22-152148,Official,366.jpg,x,x,
2018-09-22-152156,Official,367.jpg,x,x,
2018-09-22-152218,Official,368.jpg,x,x,
2018-09-22-152230,Official,369.jpg,x,x,
2018-09-22-152249,Official,370.jpg,x,x,
2018-09-22-152252,Official,371.jpg,x,x,
2018-09-22-152258,Official,372.jpg,x,x,
2018-09-22-152437,Official,373.jpg,x,x,
2018-09-22-152500,Official,374.jpg,x,x,
2018-09-22-152505,Official,375.jpg,x,x,
2018-09-22-152510,Official,376.jpg,x,x,
2018-09-22-152536,Official,377.jpg,x,x,
2018-09-22-152550,Official,378.jpg,x,x,
2018-09-22-152626,Official,379.jpg,x,x,
2018-09-22-152636,Official,380.jpg,x,x,
2018-09-22-152654,Official,381.jpg,x,x,
2018-09-22-152659,Official,382.jpg,x,x,
2018-09-22-152703,Official,383.jpg,x,x,
2018-09-22-152714,Official,384.jpg,x,x,
2018-09-22-152722,Official,385.jpg,x,x,
2018-09-22-152730,Official,386.jpg,x,x,
2018-09-22-152741,Official,387.jpg,x,x,
2018-09-22-152837,Official,388.jpg,x,x,
2018-09-22-153015,Official,389.jpg,x,x,
2018-09-22-153040,Official,390.jpg,x,x,
2018-09-22-153241,Official,391.jpg,x,x,
2018-09-22-153244,Official,392.jpg,x,x,
2018-09-22-153254,Official,393.jpg,x,x,
2018-09-22-153317,Official,394.jpg,x,x,
2018-09-22-153338,Official,395.jpg,x,x,
2018-09-22-153456,,272030822.jpg,,x,
2018-09-22-153626,,272009911.jpg,,x,
2018-09-22-153707,Official,396.jpg,x,x,
2018-09-22-153727,Official,397.jpg,x,x,
2018-09-22-153740,,272016589.jpg,,x,
2018-09-22-153755,,272016587.jpg,,x,
2018-09-22-153816,Official,398.jpg,x,x,
2018-09-22-153824,Official,399.jpg,x,x,
2018-09-22-154006,Official,400.jpg,x,x,
2018-09-22-154040,,272009920.jpg,,x,
2018-09-22-154042,,272009936.jpg,,x,
2018-09-22-154205,Official,401.jpg,x,x,
2018-09-22-154356,,272016586.jpg,,x,
2018-09-22-154433,Official,402.jpg,x,x,
2018-09-22-165808,Official,403.jpg,x,x,
2018-09-22-165817,Official,404.jpg,x,x,
2018-09-22-165821,Official,405.jpg,x,x,
2018-09-22-165822,Official,406.jpg,x,x,
2018-09-22-165839,Official,407.jpg,x,x,
2018-09-22-170024,Official,408.jpg,x,x,
2018-09-22-170043,Official,409.jpg,x,x,
2018-09-22-170051,Official,410.jpg,x,x,
2018-09-22-170123,Official,411.jpg,x,x,
2018-09-22-170148,Official,412.jpg,x,x,
2018-09-22-170149,,272106747.jpg,,x,
2018-09-22-170158,Official,413.jpg,x,x,
2018-09-22-170213,Official,414.jpg,x,x,
2018-09-22-170234,,272033362.jpg,,x,
2018-09-22-170259,Scott,DSC_0093.JPG,,x,
2018-09-22-170309,Official,415.jpg,x,x,
2018-09-22-170342,Official,416.jpg,x,x,
2018-09-22-170404,Official,417.jpg,x,x,
2018-09-22-170426,Official,418.jpg,x,x,
2018-09-22-170432,Official,419.jpg,x,x,
2018-09-22-170448,Official,420.jpg,x,x,
2018-09-22-170506,Official,421.jpg,x,x,
2018-09-22-170541,Official,422.jpg,x,x,
2018-09-22-170551,Official,423.jpg,x,x,
2018-09-22-170600,Official,424.jpg,x,x,
